epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
20,train,250000,83,-1.4819277108433733,-13,11,0.1,5000000,1000000,0.682965,6.55234730599e-05,1250000,45218.282411,2011.375202999996,124.29307054552591
20,test,125000,39,5.205128205128205,-8,14,0.05,5000000,1000000,0.682965,0,1250000,45566.583077,348.2719440000001,358.91492884652223
21,train,250000,82,-0.4512195121951217,-14,10,0.1,5250000,1000000,0.518968,5.65433462768e-05,1312500,47575.886465,2009.3011010000046,124.4213721256501
21,test,125000,39,2.6153846153846154,-7,9,0.05,5250000,1000000,0.518968,0,1312500,47924.449489,348.53887499999837,358.6400512711834
22,train,250000,82,-0.04878048780487809,-16,12,0.1,5500000,1000000,0.770252,5.76223590023e-05,1375000,49930.173847000005,2005.722124,124.64338754035701
22,test,125000,42,1.5476190476190474,-12,11,0.05,5500000,1000000,0.770252,0,1375000,50278.708922000005,348.5098100000032,358.66996111242565
23,train,250000,84,-0.19047619047619047,-13,14,0.1,5750000,1000000,0.656241,5.74399528684e-05,1437500,52284.901476,2006.190416999998,124.61429278176053
23,test,125000,40,3.125,-10,15,0.05,5750000,1000000,0.656241,0,1437500,52633.333822,348.4100899999976,358.7726176357317
24,train,250000,85,-1.4941176470588236,-16,12,0.1,6000000,1000000,0.764906,5.0458391696e-05,1500000,54629.3041,1995.9679969999997,125.25250924651976
24,test,125000,40,1.9249999999999998,-7,11,0.05,6000000,1000000,0.764906,0,1500000,54977.710902,348.3828089999952,358.8007122360671
25,train,250000,86,-0.37209302325581395,-16,12,0.1,6250000,1000000,0.647373,5.1687554655e-05,1562500,56992.207514,2014.4947150000007,124.10059859601067
25,test,125000,47,8.340425531914896,-2,17,0.05,6250000,1000000,0.647373,0,1562500,57340.996636,348.7657240000044,358.4067796753973
26,train,250000,85,3.0588235294117645,-10,16,0.1,6500000,1000000,0.581127,4.61558776869e-05,1625000,59350.796979,2009.7982749999937,124.39059337932846
26,test,125000,44,11.59090909090909,5,17,0.05,6500000,1000000,0.581127,0,1625000,59699.659365,348.8375289999967,358.3330049330821
27,train,250000,85,4.494117647058824,-11,17,0.1,6750000,1000000,0.849976,4.16080859956e-05,1687500,61712.190762000006,2012.5294180000055,124.2217866551451
27,test,125000,43,6.58139534883721,-5,14,0.05,6750000,1000000,0.849976,0,1687500,62060.447606,348.22956200000044,358.95861133122247
28,train,250000,87,2.218390804597701,-15,17,0.1,7000000,1000000,0.64666,4.26401578626e-05,1750000,64067.550482,2007.100986999998,124.5577584881135
28,test,125000,50,9.699999999999998,-8,20,0.05,7000000,1000000,0.64666,0,1750000,64415.874833,348.2998230000012,358.886200180468
29,train,250000,87,2.850574712643678,-13,14,0.1,7250000,1000000,0.727033,4.10915124858e-05,1812500,66420.381022,2004.5041169999968,124.71912523390462
29,test,125000,48,10.333333333333334,-8,21,0.05,7250000,1000000,0.727033,0,1812500,66769.214,348.8077340000018,358.3636135774425
30,train,250000,86,4.6395348837209305,-12,15,0.1,7500000,1000000,0.757576,3.85806602665e-05,1875000,68773.16957900001,2003.9534520000016,124.75339671712085
30,test,125000,39,6.153846153846152,-5,17,0.05,7500000,1000000,0.757576,0,1875000,69122.241718,349.0463840000011,358.1185932010675
31,train,250000,86,5.046511627906978,-5,15,0.1,7750000,1000000,0.757698,3.77976590927e-05,1937500,71128.83383,2006.5898920000036,124.58948437681035
31,test,125000,45,8.177777777777775,-3,18,0.05,7750000,1000000,0.757698,0,1937500,71477.589122,348.7276050000073,358.44595669447324
32,train,250000,85,5.6470588235294095,-8,17,0.1,8000000,1000000,0.727622,3.69712255841e-05,2000000,73488.078029,2010.4869789999939,124.34798265858392
32,test,125000,47,11.42553191489362,3,20,0.05,8000000,1000000,0.727622,0,2000000,73837.112394,349.0073249999987,358.1586718846101
33,train,250000,88,5.25,-12,17,0.1,8250000,1000000,0.679721,3.65993840172e-05,2062500,75850.129707,2013.0152309999976,124.19180746874353
33,test,125000,55,13.8,-5,20,0.05,8250000,1000000,0.679721,0,2062500,76198.455459,348.3019639999984,358.883994119541
34,train,250000,87,6.988505747126437,-8,18,0.1,8500000,1000000,0.894944,3.4192566357e-05,2125000,78203.77798700001,2005.3203600000124,124.66835972283174
34,test,125000,51,13.15686274509804,-3,19,0.05,8500000,1000000,0.894944,0,2125000,78553.154043,349.350907,357.80642756424845
35,train,250000,91,8.813186813186812,-3,16,0.1,8750000,1000000,0.903025,3.13042115864e-05,2187500,80562.58410000001,2009.428097000011,124.41350868599835
35,test,125000,53,14.679245283018869,6,21,0.05,8750000,1000000,0.903025,0,2187500,80911.620565,349.00658600000315,358.15943026358497
36,train,250000,106,11.650943396226412,2,19,0.1,9000000,1000000,0.837738,3.13849613803e-05,2250000,82908.03604400001,1996.4133640000073,125.2245674708873
36,test,125000,63,17.142857142857146,11,21,0.05,9000000,1000000,0.837738,0,2250000,83256.997334,348.93282299999555,358.2351437313812
37,train,250000,111,12.990990990990994,-1,20,0.1,9250000,1000000,0.86311,3.09157934778e-05,2312500,85254.620442,1997.6211159999948,125.14885730713344
37,test,125000,60,15.750000000000002,7,21,0.05,9250000,1000000,0.86311,0,2312500,85604.18619000001,349.53591700000106,357.61703996788293
38,train,250000,112,13.080357142857144,3,19,0.1,9500000,1000000,1.07836,2.87734806487e-05,2375000,87603.724627,1999.5364770000015,125.02897690323047
38,test,125000,64,17.203125000000007,10,20,0.05,9500000,1000000,1.07836,0,2375000,87953.17845,349.4280260000087,357.72745944538775
39,train,250000,111,12.675675675675672,-3,20,0.1,9750000,1000000,1.19759,2.52484805945e-05,2437500,89949.057932,1995.8775289999903,125.2581866209293
39,test,125000,67,17.641791044776127,11,21,0.05,9750000,1000000,1.19759,0,2437500,90298.747292,349.6612529999984,357.4888522177794
40,train,250000,113,13.34513274336283,-1,21,0.1,10000000,1000000,1.20162,2.15179223811e-05,2500000,92309.898158,2011.1487530000013,124.30706561465364
40,test,125000,62,12.419354838709678,-16,21,0.05,10000000,1000000,1.20162,0,2500000,92658.532633,348.61033199999656,358.5665384122959
41,train,250000,114,13.8859649122807,6,20,0.1,10250000,1000000,1.28415,1.92755643748e-05,2562500,94669.50939400001,2010.9745040000125,124.31783670192094
41,test,125000,68,18.058823529411775,11,21,0.05,10250000,1000000,1.28415,0,2562500,95018.340452,348.80720300000394,358.3641591254599
42,train,250000,114,13.815789473684212,5,21,0.1,10500000,1000000,1.15858,1.84614772907e-05,2625000,96993.68864400001,1975.3460250000062,126.56010483024068
42,test,125000,65,17.27692307692308,8,21,0.05,10500000,1000000,1.15858,0,2625000,97393.546998,399.8396710000088,312.6253072572112
43,train,250000,114,13.75438596491228,4,21,0.1,10750000,1000000,1.27512,1.70830581225e-05,2687500,99435.54073400001,2041.991446,122.42950404602233
43,test,125000,65,17.215384615384615,10,21,0.05,10750000,1000000,1.27512,0,2687500,99900.003019,464.4433529999951,269.13938845842694
44,train,250000,118,14.779661016949152,6,21,0.1,11000000,1000000,1.10289,1.67972579116e-05,2750000,102466.925766,2566.920604999992,97.3929616338877
44,test,125000,67,17.791044776119396,14,21,0.05,11000000,1000000,1.10289,0,2750000,103072.487661,605.5420350000059,206.42662734387844
45,train,250000,117,14.35897435897436,5,21,0.1,11250000,1000000,1.29303,1.53022272834e-05,2812500,105285.48738800001,2212.9948910000094,112.96908140941521
45,test,125000,72,18.555555555555557,14,21,0.05,11250000,1000000,1.29303,0,2812500,105773.744559,488.2344829999929,256.02452172556156
