epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
12,test,125000,148,-20.993243243243242,-21,-20,0.05,3000000,1000000,-2.00781,0,750000,196461.76193100002,4879.983108000015,25.61484276350893
13,train,250000,309,-20.82847896440131,-21,-19,0.1,3250000,1000000,-2.04182,0.000329816806524,812500,207351.295439,10889.530207000003,22.95783153613873
13,test,125000,159,-20.503144654088057,-21,-20,0.05,3250000,1000000,-2.04182,0,812500,212227.91679800002,4876.604849000025,25.632587398511887
14,train,250000,306,-20.81372549019608,-21,-19,0.1,3500000,1000000,-2.06924,0.000307722471218,875000,223111.55070300002,10883.630838000012,22.97027561125367
14,test,125000,147,-20.986394557823132,-21,-20,0.05,3500000,1000000,-2.06924,0,875000,227977.298898,4865.732129999989,25.68986468229608
15,train,250000,308,-20.782467532467543,-21,-18,0.1,3750000,1000000,-2.08908,0.000287735687283,937500,238862.867841,10885.565906000003,22.966192309965507
15,test,125000,161,-20.931677018633543,-21,-18,0.05,3750000,1000000,-2.08908,0,937500,243749.862154,4886.976915000007,25.578185077225772
16,train,250000,307,-20.79804560260588,-21,-20,0.1,4000000,1000000,-2.10312,0.000269914953757,1000000,254657.550361,10907.685315999988,22.919619768759404
16,test,125000,146,-20.965753424657542,-21,-20,0.05,4000000,1000000,-2.10312,0,1000000,259528.70149500002,4871.1348,25.661371555556215
17,train,250000,311,-20.717041800643088,-21,-20,0.1,4250000,1000000,-2.11782,0.000254109288607,1062500,270434.948126,10906.243892000028,22.922648940886106
17,test,125000,160,-20.537500000000012,-21,-20,0.05,4250000,1000000,-2.11782,0,1062500,275313.481514,4878.515415000031,25.622548945046063
18,train,250000,307,-20.824104234527702,-21,-19,0.1,4500000,1000000,-2.12321,0.000240613804986,1125000,286211.979189,10898.494721000025,22.93894766203644
18,test,125000,148,-20.96621621621621,-21,-20,0.05,4500000,1000000,-2.12321,0,1125000,291092.157393,4880.161554999999,25.613906136351265
19,train,250000,299,-20.809364548494987,-21,-19,0.1,4750000,1000000,-2.12214,0.00022697015328,1187500,301989.017985,10896.857712999976,22.942393723444646
19,test,125000,160,-20.99375,-21,-20,0.05,4750000,1000000,-2.12214,0,1187500,306861.74962699995,4872.709846999962,25.653076814528614
20,train,250000,304,-20.74671052631579,-21,-18,0.1,5000000,1000000,-2.12561,0.000216338556442,1250000,317748.76521599997,10887.01275200001,22.96314018315754
20,test,125000,160,-20.956250000000008,-21,-20,0.05,5000000,1000000,-2.12561,0,1250000,322629.38559699996,4880.602373999951,25.61159267263866
21,train,250000,304,-20.759868421052648,-21,-18,0.1,5250000,1000000,-2.12726,0.000204041686914,1312500,333534.523859,10905.135435000004,22.924978923015082
21,test,125000,160,-20.924999999999997,-21,-19,0.05,5250000,1000000,-2.12726,0,1312500,338407.86812899995,4873.325660999981,25.649835183464972
22,train,250000,305,-20.77049180327869,-21,-19,0.1,5500000,1000000,-2.13164,0.000193503648961,1375000,349304.18861799996,10896.31762799999,22.943530882174485
22,test,125000,161,-20.913043478260864,-21,-18,0.05,5500000,1000000,-2.13164,0,1375000,354184.89457,4880.674914000032,25.611212015256786
23,train,250000,306,-20.810457516339888,-21,-18,0.1,5750000,1000000,-2.13447,0.000186938475465,1437500,365079.143163,10894.242041000049,22.94790211738778
23,test,125000,167,-21.0,-21,-21,0.05,5750000,1000000,-2.13447,0,1437500,369974.339436,4895.172181000002,25.535363288174388
24,train,250000,309,-20.82200647249191,-21,-19,0.1,6000000,1000000,-2.13821,0.00017862725391,1500000,380885.075531,10910.729064000014,22.91322592042688
24,test,125000,160,-20.987499999999994,-21,-20,0.05,6000000,1000000,-2.13821,0,1500000,385776.25477,4891.153992000036,25.556341142489035
25,train,250000,310,-20.80322580645162,-21,-19,0.1,6250000,1000000,-2.13449,0.000171662840403,1562500,396675.178174,10898.920569000009,22.938051380159553
25,test,125000,160,-20.987499999999997,-21,-20,0.05,6250000,1000000,-2.13449,0,1562500,401545.86427799996,4870.664726999996,25.66384816164336
